Corridor,LPA,MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
W,1.0,581.0,Relo back from ns Charter,247,main,"[-89.40693696927157, 43.072130688415925]",91002.0,43.07213069,-89.40693697,EB W JOHNSON fs ORCHARD
C,1.0,,,248,main,"[-89.39872296331833, 43.07197055174612]",91003.0,43.07197055,-89.39872296,EB W JOHNSON fs E CAMPUS MALL
C,1.0,883.0,,249,alt,"[-89.38829311063442, 43.07469792125576]",91005.0,43.07469792,-89.38829311,EB STATE ns FAIRCHILD 
C,1.0,1101.0,,250,alt,"[-89.38364989768353, 43.07342977575533]",91006.0,43.07342978,-89.3836499,EB MAIN fs CARROLL 
C,1.0,1323.0,,251,alt,"[-89.38145786970587, 43.076405813374244]",91007.0,43.07640581,-89.38145787,EB EAST WASH fs WEBSTER 
C,1.0,1927.0,,252,main,"[-89.3751695005016, 43.08081874481024]",91008.0,43.08081875,-89.3751695,EB EAST WASH ns LIVINGSTON
C,1.0,1883.0,Pull out if no bus lane,253,main,"[-89.3658277760069, 43.08738567206848]",91010.0,43.08738567,-89.36582778,EB EAST WASH fs BALDWIN 
C,1.0,1730.0,,254,main,"[-89.3666435902344, 43.087233792944424]",92010.0,43.08723379,-89.36664359,WB EAST WASH fs BALDWIN 
C,1.0,1392.0,,255,main,"[-89.37513972882326, 43.08128262870697]",92008.0,43.08128263,-89.37513973,WB EAST WASH ns LIVINGSTON
C,1.0,1618.0,,256,alt,"[-89.38246414961394, 43.07600047684821]",92007.0,43.07600048,-89.38246415,WB EAST WASH fs WEBSTER 
C,1.0,1100.0,,257,alt,"[-89.38466722189656, 43.075977030688065]",92006.0,43.07597703,-89.38466722,WB MIFFLIN fs PINCKNEY 
C,1.0,898.0,,258,alt,"[-89.38954361621072, 43.074828770297145]",92005.0,43.07482877,-89.38954362,WB STATE ns W JOHNSON 
C,1.0,100.0,,259,main,"[-89.3988315038168, 43.07333949890948]",92003.0,43.0733395,-89.3988315,WB UNIV AVE ns E CAMPUS MALL
W,1.0,178.0,,260,main,"[-89.40711492811032, 43.07345002684686]",92002.0,43.07345003,-89.40711493,WB UNIV AVE op ORCHARD 
E,1.0,1241.0,,261,main,"[-89.35934697689925, 43.09197305210462]",21001.0,43.09197305,-89.35934698,EB EAST WASH ns FIRST 
E,1.0,1141.0,,262,main,"[-89.35409310791351, 43.09590365958542]",21002.0,43.09590366,-89.35409311,EB EAST WASH ns FOURTH 
E,1.0,1311.0,,263,main,"[-89.34826140485521, 43.10068566438657]",21003.0,43.10068567,-89.3482614,EB EAST WASH fs MILWAUKEE 
E,1.0,1481.0,,264,main,"[-89.34157133201948, 43.10430990102907]",21004.0,43.1043099,-89.34157133,EB EAST WASH fs MARQUETTE 
E,1.0,9339.0,,265,main,"[-89.33530377135986, 43.10940988309656]",21005.0,43.10940988,-89.33530377,EB EAST WASH fs RETHKE 
E,1.0,9675.0,,266,main,"[-89.32993198308071, 43.12004204585371]",21007.0,43.12004205,-89.32993198,EB ANDERSON fs WRIGHT 
E,1.0,9573.0,,267,main,"[-89.32102913649909, 43.11899861683065]",21008.0,43.11899862,-89.32102914,EB EAST WASH fs MENDOTA 
E,1.0,9587.0,Relo to far side,268,main,"[-89.31387598679096, 43.12382304503718]",21009.0,43.12382305,-89.31387599,EB EAST WASH fs THIERER
E,1.0,9801.0,"Layover, probably have to lengthen bay",269,main,"[-89.30702592598088, 43.12643794831759]",21010.0,43.12643795,-89.30702593,EB E TOWNE RNG at SHELTER 
E,1.0,9152.0,,270,main,"[-89.31491639743045, 43.123614281594385]",22009.0,43.12361428,-89.3149164,WB EAST WASH ns PARKSIDE 
E,1.0,9554.0,"Ex stop is far side, if using 51, keep FS. Move near side for Mendota cutoff",271,main,"[-89.321356674627, 43.11916562958336]",22008.0,43.11916563,-89.32135667,WB EAST WASH ns MENDOTA
E,1.0,9438.0,Relo east to allow for left turn,272,main,"[-89.32965984288202, 43.12022541331587]",22007.0,43.12022541,-89.32965984,WB ANDERSON ns WRIGHT 
E,1.0,9552.0,Relo to far side,273,main,"[-89.33633798240304, 43.109015048162696]",22005.0,43.10901505,-89.33633798,WB E WASHINGTON AVE fs MELVIN
E,1.0,1938.0,Pull out if no bus lane,274,main,"[-89.34192656342793, 43.104516152506726]",22004.0,43.10451615,-89.34192656,WB EAST WASH ns MARQUETTE 
E,1.0,1112.0,,275,main,"[-89.34916771434929, 43.100146121373115]",22003.0,43.10014612,-89.34916771,WB EAST WASH fs NORTH 
E,1.0,1488.0,,276,main,"[-89.35407107338507, 43.096388894475844]",22002.0,43.0963889,-89.35407107,WB EAST WASH ns FOURTH 
E,1.0,1350.0,,277,main,"[-89.36003097713055, 43.09198505231188]",22001.0,43.09198505,-89.36003098,WB EAST WASH fs FIRST 
N,,1707.0,,278,alt,"[-89.36346370104943, 43.09394346183932]",41001.0,43.09394346,-89.3634637,NB FORDEM fs JOHNSON
N,,1923.0,Relo to far side.  Number system skips 002 in case stop added south of Commercial.,279,alt,"[-89.36378397470385, 43.107072050317434]",41003.0,43.10707205,-89.36378397,NB N SHERMAN fs COMMERCIAL
N,,1341.0,Configuration of NTP to be determined,280,alt,"[-89.36367197404067, 43.114009048757524]",41004.0,43.11400905,-89.36367197,NB N SHERMAN ns ABERG 
N,,5407.0,Melrose stops moved south.  These were not included in feasibility study but may be needed.,281,alt,"[-89.36356397322483, 43.12245904731064]",41006.0,43.12245905,-89.36356397,NB N SHERMAN fs VAHLEN
N,,5683.0,,282,alt,"[-89.36346397276834, 43.12628704712976]",41007.0,43.12628705,-89.36346397,NB N SHERMAN op TRAILSWAY 
N,,5823.0,,283,alt,"[-89.36339867764173, 43.12899231404145]",41008.0,43.12899231,-89.36339868,NB SHERMAN at WARNER PARK
N,,5162.0,,284,alt,"[-89.36367985151688, 43.13001325322758]",42008.0,43.13001325,-89.36367985,SB SHERMANT at WARNER PARK
N,,5382.0,,285,alt,"[-89.36370097245504, 43.12634504720429]",42007.0,43.12634505,-89.36370097,SB N SHERMAN ns TRAILSWAY 
N,,5358.0,Melrose stops moved south.  These were not included in feasibility study but may be needed.,286,alt,"[-89.3637549733112, 43.12181104791899]",42006.0,43.12181105,-89.36375497,SB N SHERMAN fs VAHLEN
N,,1922.0,Configuration of NTP to be determined,287,alt,"[-89.36348261772456, 43.113766223751725]",42004.0,43.11376622,-89.36348262,SB RELOCATED NORTH TRANSFER POINT
